Running Time,KNN,NAIVE BAYES,LOGIC REGRESSION,DECISION TREE
DAYS,%,%,%,%
30,31.3,36.7,32.7,38.7
60,27.3,40.7,33.3,36.7
90,38.7,32.7,31.3,34
120,25.3,30.7,33.3,38.7
