Running Time,KNN,NAIVE BAYES,LOGIC REGRESSION,DECISION TREE
DAYS,%,%,%,%
30,28,28,27.3,28.7
60,43.2,28,37.3,31.3
90,26,35,34,27.3
120,38.1,38.3,32,30.7
