Running Time,KNN,NAIVE BAYES,LOGIC REGRESSION,DECISION TREE
DAYS,%,%,%,%
30,42.7,37.3,32,32.7
60,34,39.3,34,28.7
90,37.3,32.7,34.7,33.3
120,36,32.7,32,26.7
